עיר,איזור,קישור
אבו גוש,ירושלים,
אבו סנאן,צפון,
אבן יהודה,מרכז,
אום אל-פחם,צפון,
אופקים,דרום,
אור יהודה,מרכז,
אור עקיבא,צפון,
אורנית,השרון,
אזור,השרון,
אילת,דרום,
אכסאל,צפון,
אליכין,צפון,
אלעד,מרכז,
אלפי מנשה,השרון,
אלקנה,השרון,
אעבלין,צפון,
אפרת,,
אריאל,מרכז,
אשדוד,דרום,
אשקלון,דרום,
באקה אל גרבייה,צפון,
באר יעקב,שפלה,
באר שבע,דרום,
בועיינה-נוג'ידאת,צפון,
בוקעאתא,צפון,
ביר אל-מכסור,צפון,
בית אל,צפון,
בית אריה,שפלה,
בית ג'ן,צפון,
בית דגן,מרכז,
בית שאן,צפון,
בית שמש,ירושלים,
ביתר עילית,ירושלים,
בני ברק,מרכז,
בני עיש,מרכז,
בנימינה-גבעת עדה,צפון,
בסמה,צפון,
בסמת טבעון,צפון,
בענה,צפון,
בת ים,מרכז,
גבעת זאב,ירושלים,
גבעת שמואל,מרכז,
גבעתיים,מרכז,
ג'דיידה-מכר,צפון,
גדרה,מרכז,
ג'וליס,צפון,
ג'לג'וליה,השרון,
גן יבנה,מרכז,
גני תקווה,מרכז,
ג'סר א-זרקא,צפון,
ג'ש (גוש חלב),מרכז,
ג'ת,השרון,
דבוריה,צפון,
דייר חנא,צפון,
דימונה,דרום,
דיר אל אסד,צפון,
דליית אל כרמל,צפון,
הוד השרון,השרון,
הר אדר,שפלה,
הרצליה,השרון,
זכרון יעקב,צפון,
זמר,השרון,
זרזיר,צפון,
חברון,דרום,
חדרה,צפון,
חולון,מרכז,
חורה,דרום,
חורפיש,צפון,
חיפה,צפון,
חצור הגלילית,צפון,
חריש,צפון,
טבריה,צפון,
טובא-זנגריה,צפון,
טורעאן,צפון,
טייבה,מרכז,
טירה,השרון,
טירת כרמל,צפון,
טמרה,צפון,
יאנוח-ג'ת,צפון,
יבנאל,צפון,
יבנה,מרכז,
יהוד-נווה אפריים,מרכז,
יסוד המעלה,צפון,
יפיע,דרום,
יקנעם עילית,צפון,
ירוחם,דרום,
ירושלים,ירושלים,
ירכא,צפון,
כאבול,צפון,
כאוכב אבו אל-היג'א,צפון,
כוכב יאיר,השרון,
כסיפה,דרום,
כסרא-סמיע,צפון,
כעביה-טבאש-חג'אג'רה,צפון,
כפר ברא,מרכז,
כפר ורדים,צפון,
כפר יאסיף,צפון,
כפר יונה,השרון,
כפר כמא,צפון,
כפר כנא,צפון,
כפר מנדא,צפון,
כפר סבא,השרון,
כפר קאסם,מרכז,
כפר קרע,צפון,
כפר שמריהו,השרון,
כפר תבור,צפון,
כרמיאל,צפון,
להבים,דרום,
לוד,מרכז,
לקיה,דרום,
מבשרת ציון,ירושלים,
מגאר,,
מגדל,צפון,
מג'דל אל כרום,צפון,
מגדל העמק,צפון,
מג'דל שמס,צפון,
מגדל תפן,צפון,
מודיעין עילית,ירושלים,
מודיעין-מכבים-רעות,ירושלים,
מזכרת בתיה,,
מזרעה,צפון,
מטולה,צפון,
מיתר,דרום,
מסעדה,צפון,
מעיליא,צפון,
מעלה אדומים,,
מעלה אפרים,צפון,
מעלה עירון,צפון,
מעלות-תרשיחא,צפון,
מצפה רמון,דרום,
משהד,צפון,
נאות חובב,דרום,
נהריה,צפון,
נוף הגליל,צפון,
נחף,צפון,
נס ציונה,דרום,
נצרת,צפון,
נשר,צפון,
נתיבות,דרום,
נתניה,מרכז,
סאג'ור,צפון,
סביון,מרכז,
סח'נין,צפון,
ע'ג'ר,צפון,
עומר,דרום,
עוספיה,צפון,
עיילבון,צפון,
עילוט,צפון,
עין מאהל,צפון,
עין קנייא,צפון,
עכו,צפון,
עמנואל,מרכז,
עפולה,צפון,
עראבה,צפון,
ערד,דרום,
ערערה,צפון,
ערערה-בנגב,דרום,
פוריידיס,צפון,
פסוטה,צפון,
פקיעין (בוקייעה),צפון,
פרדס חנה-כרכור,צפון,
פרדסיה,מרכז,
פתח תקווה,מרכז,
צורן קדימה,השרון,
צור הדסה,ירושלים,
צפת,צפון,
קדומים,מרכז,
קלנסווה,מרכז,
קצרין,צפון,
קרית אונו,מרכז,
קרית ארבע,דרום,
קרית אתא,צפון,
קרית ביאליק,צפון,
קרית גת,דרום,
קרית טבעון,צפון,
קרית ים,צפון,
קרית יערים,ירושלים,
קרית מוצקין,,
קרית מלאכי,דרום,
קרית עקרון,דרום,
קרית שמונה,צפון,
קרני שומרון,מרכז,
ראמה,צפון,
ראש העין,מרכז,
ראש פינה,צפון,
ראשון לציון,מרכז,
רהט,דרום,
רחובות,מרכז,
ריינה,צפון,
רכסים,צפון,
רמלה,מרכז,
רמת גן,מרכז,
רמת השרון,השרון,
רמת ישי,צפון,
רעננה,השרון,
שבלי - אום אל - גנם,צפון,
שגב-שלום,דרום,
שדרות,דרום,
שוהם,מרכז,
שלומי,צפון,
שעב,צפון,
שער שומרון,מרכז,
שפרעם,צפון,
תל אביב-יפו,מרכז,
תל מונד,השרון,
תל שבע,דרום,
