עיר,איזור,קישור
אבו גוש,ירושלים, https://abugosh.muni.il/he/
אבו סנאן,צפון, NaN
אבן יהודה,מרכז, https://www.even-yehuda.muni.il/
אום אל-פחם,צפון, https://he.umelfahem.org/
אופקים,דרום, https://www.ofaqim.muni.il/
אור יהודה,מרכז, https://www.oryehuda.muni.il/
אור עקיבא,צפון, https://www.oraqiva.muni.il/
אורנית,השרון, https://www.oranit.org.il/
אזור,השרון, https://www.azor.muni.il/
אילת,דרום, http://www.eilat.muni.il/
אכסאל,צפון, NaN
אליכין,צפון, https://www.elyakhin.muni.il/Pages/default.aspx
אלעד,מרכז, https://www.elad.muni.il/Pages/default.aspx
אלפי מנשה,השרון, https://www.alfe-menashe.muni.il/
אלקנה,השרון, https://www.elkana.org.il/index.php
אעבלין,צפון, https://ibllin.muni.il/
אפרת,מרכז, NaN
אריאל,מרכז, https://www.ariel.muni.il/
אשדוד,דרום, http://www.ashdod.muni.il/
אשקלון,דרום, http://www.ashkelon.muni.il/
באקה אל גרבייה,צפון, https://www.baqa.co.il/
באר יעקב,שפלה, https://www.b-y.org.il/
באר שבע,דרום, https://www.beer-sheva.muni.il/Pages/default.aspx
בועיינה-נוג'ידאת,צפון, http://www.bueine-nujeidat.muni.il/
בוקעאתא,צפון, https://buqata.muni.il/he/
ביר אל-מכסור,צפון, https://www.bir-elmaksur.org.il/he/
בית אל,צפון, NaN
בית אריה,שפלה, https://www.beit-arye.co.il/
בית ג'ן,צפון, http://www.beit-jann.muni.il/
בית דגן,מרכז, https://www.beitdagan.muni.il/Pages/default.aspx
בית שאן,צפון, http://www.bet-shean.org.il/
בית שמש,ירושלים, https://betshemesh.muni.il/
ביתר עילית,ירושלים, https://betar-illit.muni.il/
בני ברק,מרכז, http://www.bnei-brak.muni.il/
בני עיש,מרכז, http://www.bney-ayish.muni.il/
בנימינה-גבעת עדה,צפון, https://www.bin-ada.co.il/
בסמה,צפון, https://basma.muni.il/he/Home/Index
בסמת טבעון,צפון, NaN    
בענה,צפון, https://www.bine.muni.il/index.asp?lang=he
בת ים,מרכז, https://www.bat-yam.muni.il/he/
גבעת זאב,ירושלים, NaN
גבעת שמואל,מרכז, https://www.givat-shmuel.muni.il/
גבעתיים,מרכז, https://www.givatayim.muni.il/
ג'דיידה-מכר,צפון, https://judeidemaker.muni.il/he
גדרה,מרכז, https://gedera.muni.il/
ג'וליס,צפון, https://julis.website/pages/julis.asp
ג'לג'וליה,השרון, https://www.jaljulye.muni.il/Hebrew/Pages/default.aspx
גן יבנה,מרכז, http://www.ganyavne.muni.il/
גני תקווה,מרכז, http://www.ganeytikva.org.il/
ג'סר א-זרקא,צפון, NaN
ג'ש (גוש חלב),מרכז, https://www.jish.org.il/Pages/default.aspx
ג'ת,השרון, https://www.jatt.muni.il/
דבוריה,צפון, https://daburiyya.muni.il/he/home
דייר חנא,צפון, https://www.deir-hanna.muni.il/Hebrew/Pages/default.aspx
דימונה,דרום, https://www.dimona.muni.il/
דיר אל אסד,צפון, https://www.deiralasad.muni.il/?lang=he
דליית אל כרמל,צפון, http://www.tourismdalia.com/
הוד השרון,השרון, https://www.hod-hasharon.muni.il/
הר אדר,שפלה, http://www.har-adar.muni.il/
הרצליה,השרון, https://www.herzliya.muni.il/
זכרון יעקב,צפון, https://www.zy1882.co.il/
